Reporting period ending date,Number of requests (range MIN),Number of requests (range MAX),Number of accounts (range MIN),Number of accounts (range MAX)
2022-06-30,500,999,1500,1999
2021-12-31,2,499,1500,1999
2021-06-30,500,999,2500,2999
2020-12-31,6,499,1500,1999
2020-06-30,11,499,1000,1499
2019-12-31,500,999,1500,1999
2019-06-30,500,999,1000,1499
2018-12-31,22,499,1000,1499
2018-06-30,9,499,1000,1499
2017-12-31,18,499,1500,1999
2017-06-30,14,499,1000,1499
2016-12-31,9,499,1000,1499
2016-06-30,17,499,500,999
2015-12-31,12,499,500,999
2015-06-30,10,499,500,999
2014-12-31,13,499,500,999
2014-06-30,500,999,500,999
2013-12-31,500,999,1000,1499
2013-06-30,5,499,500,999
2012-12-31,4,499,500,999
2012-06-30,500,999,1000,1499
2011-12-31,3,499,500,999
2011-06-30,2,499,500,999
2010-12-31,1,499,1000,1499
2010-06-30,500,999,1500,1999
2009-12-31,1,499,500,999
2009-06-30,0,499,500,999
